City/Town,Leading Candidate,Amy Payne (D),Augustus Barkyoumb (D),"Helaine ""Lainey"" Rappaport (D)","Michael ""Mikey""  Roberts (D)",Paul McManus (D),Write-Ins,Blanks,Overvotes,Total Votes Cast,Amy Payne (D) Percent Votes Cast,Augustus Barkyoumb (D) Percent Votes Cast,"Helaine ""Lainey"" Rappaport (D) Percent Votes Cast","Michael ""Mikey""  Roberts (D) Percent Votes Cast",Paul McManus (D) Percent Votes Cast,Overvotes Percent
Bolton,Amy Payne (D),46,14,14,16,29,2,73,0,194,23.71%,7.22%,7.22%,8.25%,14.95%,0.00%
Charlotte,"Michael ""Mikey""  Roberts (D)",150,29,35,275,79,1,519,2,1090,13.76%,2.66%,3.21%,25.23%,7.25%,0.18%
Colchester,Amy Payne (D),548,100,114,187,439,9,731,3,2131,25.72%,4.69%,5.35%,8.78%,20.60%,0.14%
Essex Junction,Amy Payne (D),488,95,113,149,386,9,605,5,1850,26.38%,5.14%,6.11%,8.05%,20.86%,0.27%
Essex,Paul McManus (D),388,81,112,108,435,7,537,0,1668,23.26%,4.86%,6.71%,6.47%,26.08%,0.00%
Hinesburg,"Michael ""Mikey""  Roberts (D)",3,0,2,3,2,0,6,0,16,18.75%,0.00%,12.50%,18.75%,12.50%,0.00%
Huntington,Amy Payne (D),171,20,28,30,59,0,174,0,482,35.48%,4.15%,5.81%,6.22%,12.24%,0.00%
Milton,Paul McManus (D),272,72,57,108,285,3,218,2,1017,26.75%,7.08%,5.60%,10.62%,28.02%,0.20%
Saint George,Amy Payne (D),29,2,6,6,26,0,45,0,114,25.44%,1.75%,5.26%,5.26%,22.81%,0.00%
South Burlington,Amy Payne (D),551,97,109,199,389,3,385,1,1734,31.78%,5.59%,6.29%,11.48%,22.43%,0.06%
Underhill,Amy Payne (D),155,36,37,39,107,3,259,1,637,24.33%,5.65%,5.81%,6.12%,16.80%,0.16%
Westford,Amy Payne (D),102,19,14,21,67,0,171,0,394,25.89%,4.82%,3.55%,5.33%,17.01%,0.00%
Williston,Paul McManus (D),272,67,74,97,870,4,726,2,2112,12.88%,3.17%,3.50%,4.59%,41.19%,0.09%
Winooski,Amy Payne (D),539,86,92,90,145,5,406,4,1367,39.43%,6.29%,6.73%,6.58%,10.61%,0.29%
