City/Town,Leading Candidate,Bob Farrar (R),Write-Ins,Blanks,Overvotes,Total Votes Cast,Bob Farrar (R) Percent Votes Cast,Overvotes Percent
Bakersfield,,0,0,0,0,0,0.00%,0.00%
Berkshire,,0,0,0,0,0,0.00%,0.00%
Enosburgh,,0,0,0,0,0,0.00%,0.00%
Fairfax,,0,0,0,0,0,0.00%,0.00%
Fairfield,,0,0,0,0,0,0.00%,0.00%
Fletcher,,0,0,0,0,0,0.00%,0.00%
Franklin,,0,0,0,0,0,0.00%,0.00%
Georgia,,0,0,0,0,0,0.00%,0.00%
Highgate,,0,0,0,0,0,0.00%,0.00%
Montgomery,,0,0,0,0,0,0.00%,0.00%
Richford,,0,0,0,0,0,0.00%,0.00%
Saint Albans City,,0,0,0,0,0,0.00%,0.00%
Saint Albans Town,,0,0,0,0,0,0.00%,0.00%
Sheldon,,0,0,0,0,0,0.00%,0.00%
Swanton,,0,0,0,0,0,0.00%,0.00%
