City/Town,Leading Candidate,Adam Ortiz (I),Becca Balint (D),Jill Jessy Diamondstone (PJP),Mark Coester (R/L),Write-Ins,Blanks,OverVotes,Total Votes Cast,Becca Balint (D) Percent Votes Cast,Mark Coester (R/L) Percent Votes Cast,OverVotes Percent
Addison,Mark Coester (R/L),37,386,19,395,0,160,0,997,38.72%,39.62%,0.00%
Albany,Becca Balint (D),62,266,8,199,2,162,0,699,38.05%,28.47%,0.00%
Alburgh,Mark Coester (R/L),78,451,28,453,3,456,0,1469,30.70%,30.84%,0.00%
Andover,Becca Balint (D),15,186,7,142,0,68,0,418,44.50%,33.97%,0.00%
Arlington,Becca Balint (D),79,838,37,450,40,824,0,2268,36.95%,19.84%,0.00%
Athens,Mark Coester (R/L),11,100,6,104,0,48,0,269,37.17%,38.66%,0.00%
Bakersfield,Becca Balint (D),46,382,12,298,3,204,0,945,40.42%,31.53%,0.00%
Baltimore,Mark Coester (R/L),8,57,2,74,0,28,0,169,33.73%,43.79%,0.00%
Barnard,Becca Balint (D),18,428,16,164,1,175,0,802,53.37%,20.45%,0.00%
Barnet,Becca Balint (D),72,575,19,370,6,576,0,1618,35.54%,22.87%,0.00%
Barre City,Becca Balint (D),241,2095,93,1104,64,0,0,3597,58.24%,30.69%,0.00%
Barre Town,Becca Balint (D),267,2289,83,1955,187,5472,0,10253,22.33%,19.07%,0.00%
Barton,Becca Balint (D),177,618,18,467,3,574,0,1857,33.28%,25.15%,0.00%
Belvidere,Mark Coester (R/L),13,84,5,88,5,85,0,280,30.00%,31.43%,0.00%
Bennington,Becca Balint (D),489,3985,265,1916,0,0,0,6655,59.88%,28.79%,0.00%
Benson,Mark Coester (R/L),35,224,7,327,0,176,0,769,29.13%,42.52%,0.00%
Berkshire,Mark Coester (R/L),81,251,14,374,1,315,0,1036,24.23%,36.10%,0.00%
Berlin,Becca Balint (D),94,901,33,460,4,704,0,2196,41.03%,20.95%,0.00%
Bethel,Becca Balint (D),52,606,25,292,28,284,0,1287,47.09%,22.69%,0.00%
Bloomfield,Mark Coester (R/L),20,41,5,65,0,32,0,163,25.15%,39.88%,0.00%
Bolton,Becca Balint (D),34,536,13,195,10,238,0,1026,52.24%,19.01%,0.00%
Bradford,Becca Balint (D),111,784,38,513,8,1001,0,2455,31.93%,20.90%,0.00%
Braintree,Becca Balint (D),31,413,15,259,0,152,0,870,47.47%,29.77%,0.00%
Brandon,Becca Balint (D),132,1157,47,880,28,604,0,2848,40.62%,30.90%,0.00%
Brattleboro,Becca Balint (D),150,4936,241,841,15,2622,0,8805,56.06%,9.55%,0.00%
Bridgewater,Becca Balint (D),38,287,21,191,2,252,0,791,36.28%,24.15%,0.00%
Bridport,Mark Coester (R/L),33,330,18,341,2,342,0,1066,30.96%,31.99%,0.00%
Brighton,Mark Coester (R/L),95,239,20,271,0,120,0,745,32.08%,36.38%,0.00%
Bristol,Becca Balint (D),146,1356,42,683,52,456,0,2735,49.58%,24.97%,0.00%
Brookfield,Becca Balint (D),48,512,16,307,16,164,0,1063,48.17%,28.88%,0.00%
Brookline,Becca Balint (D),18,183,10,108,0,56,0,375,48.80%,28.80%,0.00%
Brownington,Mark Coester (R/L),75,181,16,232,1,215,0,720,25.14%,32.22%,0.00%
Brunswick,Mark Coester (R/L),12,17,1,29,0,16,0,75,22.67%,38.67%,0.00%
Burke,Becca Balint (D),91,509,10,306,0,176,0,1092,46.61%,28.02%,0.00%
Burlington,Becca Balint (D),521,16613,484,1926,296,4824,0,24664,67.36%,7.81%,0.00%
Cabot,Becca Balint (D),41,498,23,271,4,532,0,1369,36.38%,19.80%,0.00%
Calais,Becca Balint (D),38,813,27,222,16,200,0,1316,61.78%,16.87%,0.00%
Cambridge,Becca Balint (D),121,1348,31,613,16,400,0,2529,53.30%,24.24%,0.00%
Canaan,Becca Balint (D),73,215,11,205,0,168,0,672,31.99%,30.51%,0.00%
Castleton,Mark Coester (R/L),124,897,52,960,208,2000,0,4241,21.15%,22.64%,0.00%
